Event,Event type,Total Amount of IHEC Entries,Amount Segments total,Amount Significant Segments Spearman,Upstream,Overlapping Upstream Adjacent,Overlapping Upstream Adjacent + RoI,Overlapping Total Up-Down,Overlapping Downstream Adjacent + RoI,Overlapping Downstream Adjacent,Downstream,Overlap General,Significant Segments Spearman,Class,Rest,Sum
000000000000116_ENSG00000101558.13_SE:chr18:9937066-9944924:9945058-9950395:+_H3K27ac.txt,SE,358,35,5,0,2,0,0,0,3,0,0,"['chr18:9944224-9944373', 'chr18:9944374-9944523', 'chr18:9945874-9946023', 'chr18:9946024-9946173', 'chr18:9947224-9947373']",H3K27ac,0.0,5.0
000000000000344_ENSG00000141542.10_SE:chr17:82664556-82696389:82696853-82698455:-_H3K27ac.txt,SE,201,40,9,0,3,0,0,0,3,3,0,"['chr17:82694339-82694488', 'chr17:82695239-82695388', 'chr17:82695989-82696138', 'chr17:82697039-82697188', 'chr17:82697339-82697488', 'chr17:82697489-82697638', 'chr17:82698639-82698688', 'chr17:82698689-82698728', 'chr17:82698729-82698838']",H3K27ac,0.0,9.0
000000000000511_ENSG00000167618.9_SE:chr19:54508184-54509035:54509085-54510526:+_H3K27ac.txt,SE,44,56,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000484_ENSG00000165113.12_SE:chr9:83753359-83768818:83768970-83780382:-_H3K27ac.txt,SE,237,36,4,0,1,0,0,0,3,0,0,"['chr9:83767218-83767367', 'chr9:83769918-83770007', 'chr9:83770518-83770667', 'chr9:83771418-83771470']",H3K27ac,0.0,4.0
000000000000515_ENSG00000167965.17_RI:chr16:2208450:2208613-2208759:2209412:+_H3K27ac.txt,RI,136,35,20,4,1,1,0,0,3,11,0,"['chr16:2207163-2207312', 'chr16:2207313-2207462', 'chr16:2207913-2208062', 'chr16:2208213-2208362', 'chr16:2208363-2208512', 'chr16:2208513-2208662', 'chr16:2208813-2208962', 'chr16:2208963-2209112', 'chr16:2209113-2209262', 'chr16:2209563-2209712', 'chr16:2209713-2209862', 'chr16:2209863-2210012', 'chr16:2210013-2210162', 'chr16:2210163-2210312', 'chr16:2210313-2210462', 'chr16:2210463-2210612', 'chr16:2210763-2210912', 'chr16:2210913-2211062', 'chr16:2211063-2211212', 'chr16:2211213-2211259']",H3K27ac,0.0,20.0
000000000000431_ENSG00000157766.16_RI:chr15:88854852:88855521-88855579:88859417:+_H3K27ac.txt,RI,17,51,7,0,0,0,0,0,6,0,1,"['chr15:88855561-88855570', 'chr15:88856681-88856770', 'chr15:88856771-88856800', 'chr15:88856801-88856850', 'chr15:88856851-88856920', 'chr15:88856921-88857050', 'chr15:88857051-88857070']",H3K27ac,0.0,6.0
000000000000365_ENSG00000145242.13_SE:chr4:65367424-65376998:65377063-65404374:-_H3K27ac.txt,SE,25,36,1,0,1,0,0,0,0,0,0,['chr4:65375098-65375247'],H3K27ac,0.0,1.0
000000000000360_ENSG00000144283.21_SE:chr2:158674000-158676739:158676867-158678581:+_H3K27ac.txt,SE,275,36,31,0,13,1,0,1,12,4,0,"['chr2:158674539-158674688', 'chr2:158674839-158674988', 'chr2:158674989-158675138', 'chr2:158675139-158675288', 'chr2:158675289-158675438', 'chr2:158675439-158675588', 'chr2:158675589-158675738', 'chr2:158675739-158675888', 'chr2:158675889-158676038', 'chr2:158676039-158676188', 'chr2:158676189-158676338', 'chr2:158676339-158676488', 'chr2:158676489-158676638', 'chr2:158676639-158676788', 'chr2:158676789-158676938', 'chr2:158676939-158677088', 'chr2:158677089-158677238', 'chr2:158677239-158677388', 'chr2:158677389-158677538', 'chr2:158677539-158677688', 'chr2:158677689-158677838', 'chr2:158677839-158677988', 'chr2:158677989-158678138', 'chr2:158678139-158678288', 'chr2:158678289-158678438', 'chr2:158678439-158678538', 'chr2:158678539-158678588', 'chr2:158678589-158678738', 'chr2:158679039-158679188', 'chr2:158679189-158679338', 'chr2:158679339-158679367']",H3K27ac,0.0,31.0
000000000000057_ENSG00000069431.11_SE:chr12:21936694-21938018:21938077-21940710:-_H3K27ac.txt,SE,27,37,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000071_ENSG00000082068.8_SE:chr5:37605238-37687910:37688007-37697655:+_H3K27ac.txt,SE,341,35,6,0,4,0,0,0,2,0,0,"['chr5:37687210-37687359', 'chr5:37687360-37687509', 'chr5:37687510-37687659', 'chr5:37687660-37687809', 'chr5:37688410-37688559', 'chr5:37689610-37689759']",H3K27ac,0.0,6.0
000000000000522_ENSG00000168502.17_SE:chr18:8807060-8809448:8809561-8812979:+_H3K27ac.txt,SE,121,37,1,0,1,0,0,0,0,0,0,['chr18:8807098-8807247'],H3K27ac,0.0,1.0
000000000000233_ENSG00000121879.4_SE:chr3:179230376-179233289:179233371-179234094:+_H3K27ac.txt,SE,352,34,16,0,4,0,0,0,3,9,0,"['chr3:179231239-179231388', 'chr3:179231539-179231688', 'chr3:179231689-179231838', 'chr3:179231839-179231988', 'chr3:179233489-179233638', 'chr3:179233639-179233788', 'chr3:179233789-179233938', 'chr3:179234389-179234538', 'chr3:179234539-179234688', 'chr3:179234689-179234838', 'chr3:179234839-179234988', 'chr3:179234989-179235138', 'chr3:179235139-179235288', 'chr3:179235289-179235438', 'chr3:179235439-179235588', 'chr3:179235589-179235738']",H3K27ac,0.0,16.0
000000000000142_ENSG00000105219.9_RI:chr19:40222208:40222472-40223152:40223303:-_H3K27ac.txt,RI,15,53,13,2,0,0,0,1,1,7,2,"['chr19:40220272-40220421', 'chr19:40220422-40220571', 'chr19:40222672-40222821', 'chr19:40222972-40223121', 'chr19:40223122-40223271', 'chr19:40223272-40223371', 'chr19:40223372-40223421', 'chr19:40224242-40224321', 'chr19:40224322-40224401', 'chr19:40224402-40224471', 'chr19:40224472-40224531', 'chr19:40224532-40224621', 'chr19:40224622-40224771']",H3K27ac,0.0,11.0
000000000000315_ENSG00000137841.11_SE:chr15:40291487-40291606:40291650-40291849:-_H3K27ac.txt,SE,218,34,2,1,0,0,0,0,0,1,0,"['chr15:40289256-40289405', 'chr15:40293456-40293605']",H3K27ac,0.0,2.0
000000000000198_ENSG00000112414.14_SE:chr6:142382019-142383760:142383843-142390258:+_H3K27ac.txt,SE,116,34,27,2,9,0,0,0,16,0,0,"['chr6:142381260-142381409', 'chr6:142381410-142381559', 'chr6:142382160-142382309', 'chr6:142382310-142382459', 'chr6:142382460-142382609', 'chr6:142382610-142382759', 'chr6:142382760-142382909', 'chr6:142382910-142383059', 'chr6:142383060-142383209', 'chr6:142383210-142383359', 'chr6:142383510-142383659', 'chr6:142383960-142384109', 'chr6:142384110-142384259', 'chr6:142384260-142384409', 'chr6:142384410-142384559', 'chr6:142384560-142384709', 'chr6:142384710-142384859', 'chr6:142384860-142385009', 'chr6:142385010-142385159', 'chr6:142385160-142385309', 'chr6:142385310-142385459', 'chr6:142385460-142385609', 'chr6:142385610-142385759', 'chr6:142385760-142385909', 'chr6:142385910-142386059', 'chr6:142386060-142386209', 'chr6:142386210-142386343']",H3K27ac,0.0,27.0
000000000000512_ENSG00000167634.12_SE:chr19:54923872-54927605:54927775-54930499:-_H3K27ac.txt,SE,10,64,2,0,0,0,0,0,2,0,0,"['chr19:54928155-54928234', 'chr19:54930205-54930275']",H3K27ac,0.0,2.0
000000000000647_ENSG00000197951.9_SE:chr19:56601591-56613812:56613938-56621268:+_H3K27ac.txt,SE,199,35,2,0,2,0,0,0,0,0,0,"['chr19:56611312-56611461', 'chr19:56611462-56611611']",H3K27ac,0.0,2.0
000000000000178_ENSG00000109756.9_SE:chr4:159343404-159344036:159344059-159345106:+_H3K27ac.txt,SE,350,36,18,4,2,0,1,0,3,8,0,"['chr4:159341536-159341685', 'chr4:159341686-159341835', 'chr4:159341986-159342135', 'chr4:159342436-159342515', 'chr4:159343636-159343785', 'chr4:159343786-159343935', 'chr4:159343936-159344085', 'chr4:159344686-159344835', 'chr4:159344836-159344985', 'chr4:159344986-159345135', 'chr4:159345136-159345285', 'chr4:159345436-159345585', 'chr4:159345586-159345735', 'chr4:159345736-159345885', 'chr4:159345886-159346035', 'chr4:159346036-159346185', 'chr4:159346186-159346335', 'chr4:159346336-159346485']",H3K27ac,0.0,18.0
000000000000550_ENSG00000172794.19_RI:chr17:74745008:74745084-74745306:74747335:+_H3K27ac.txt,RI,128,36,18,12,0,0,0,0,5,1,0,"['chr17:74742884-74743033', 'chr17:74743034-74743183', 'chr17:74743184-74743333', 'chr17:74743334-74743483', 'chr17:74743484-74743633', 'chr17:74743634-74743783', 'chr17:74743784-74743933', 'chr17:74743934-74744083', 'chr17:74744084-74744233', 'chr17:74744234-74744383', 'chr17:74744384-74744533', 'chr17:74744534-74744683', 'chr17:74745734-74745883', 'chr17:74745884-74746033', 'chr17:74746034-74746183', 'chr17:74746934-74747083', 'chr17:74747234-74747383', 'chr17:74747384-74747533']",H3K27ac,0.0,18.0
000000000000608_ENSG00000185681.12_SE:chr9:122166915-122169645:122169756-122174496:+_H3K27ac.txt,SE,19,48,1,0,0,0,0,0,1,0,0,['chr9:122170745-122170854'],H3K27ac,0.0,1.0
000000000000617_ENSG00000187527.10_RI:chr3:193276750:193276765-193276768:193276830:-_H3K27ac.txt,RI,9,93,2,2,0,0,0,0,0,0,0,"['chr3:193274265-193274274', 'chr3:193274275-193274314']",H3K27ac,0.0,2.0
000000000000648_ENSG00000197961.11_SE:chr19:9567109-9567648:9567705-9568095:-_H3K27ac.txt,SE,327,34,2,1,0,0,0,0,0,1,0,"['chr19:9565598-9565747', 'chr19:9570098-9570205']",H3K27ac,0.0,2.0
000000000000267_ENSG00000130803.14_SE:chr19:9157394-9157980:9158075-9158826:+_H3K27ac.txt,SE,347,34,29,12,4,1,0,1,5,6,0,"['chr19:9155480-9155629', 'chr19:9155630-9155779', 'chr19:9155780-9155929', 'chr19:9155930-9156079', 'chr19:9156080-9156229', 'chr19:9156230-9156379', 'chr19:9156380-9156529', 'chr19:9156530-9156679', 'chr19:9156680-9156829', 'chr19:9156830-9156979', 'chr19:9156980-9157129', 'chr19:9157130-9157279', 'chr19:9157280-9157429', 'chr19:9157430-9157579', 'chr19:9157580-9157729', 'chr19:9157730-9157879', 'chr19:9157880-9158029', 'chr19:9158030-9158179', 'chr19:9158180-9158329', 'chr19:9158330-9158479', 'chr19:9158480-9158629', 'chr19:9158630-9158779', 'chr19:9158780-9158929', 'chr19:9159080-9159229', 'chr19:9159230-9159379', 'chr19:9159380-9159529', 'chr19:9160130-9160279', 'chr19:9160280-9160429', 'chr19:9160430-9160575']",H3K27ac,0.0,29.0
000000000000018_ENSG00000010803.16_SE:chr1:41028726-41033983:41034048-41037362:-_H3K27ac.txt,SE,313,34,6,0,3,0,0,0,3,0,0,"['chr1:41032233-41032382', 'chr1:41032383-41032532', 'chr1:41032533-41032682', 'chr1:41034633-41034782', 'chr1:41035083-41035232', 'chr1:41035983-41036132']",H3K27ac,0.0,6.0
000000000000297_ENSG00000135506.15_SE:chr12:57719182-57720099:57720263-57720406:+_H3K27ac.txt,SE,358,35,3,2,1,0,0,0,0,0,0,"['chr12:57718799-57718948', 'chr12:57718949-57719098', 'chr12:57719849-57719998']",H3K27ac,0.0,3.0
000000000000476_ENSG00000164117.13_RI:chr4:174262764:174262795-174262919:174263100:-_H3K27ac.txt,RI,327,35,1,1,0,0,0,0,0,0,0,['chr4:174261645-174261794'],H3K27ac,0.0,1.0
000000000000361_ENSG00000144481.16_SE:chr2:234008103-234014562:234014654-234017299:+_H3K27ac.txt,SE,19,35,21,0,12,1,0,1,7,0,0,"['chr2:234012362-234012511', 'chr2:234012512-234012661', 'chr2:234012662-234012811', 'chr2:234012812-234012961', 'chr2:234013262-234013411', 'chr2:234013412-234013561', 'chr2:234013562-234013711', 'chr2:234013712-234013861', 'chr2:234013862-234014011', 'chr2:234014012-234014161', 'chr2:234014162-234014311', 'chr2:234014312-234014461', 'chr2:234014462-234014611', 'chr2:234014612-234014761', 'chr2:234014762-234014911', 'chr2:234015662-234015811', 'chr2:234015812-234015961', 'chr2:234015962-234016111', 'chr2:234016112-234016261', 'chr2:234016862-234017011', 'chr2:234017012-234017154']",H3K27ac,0.0,21.0
000000000000433_ENSG00000158555.14_SE:chr11:75477795-75479244:75479488-75490237:-_H3K27ac.txt,SE,200,35,17,1,5,0,0,0,11,0,0,"['chr11:75477344-75477493', 'chr11:75477944-75478093', 'chr11:75478394-75478543', 'chr11:75478544-75478693', 'chr11:75478694-75478843', 'chr11:75478994-75479143', 'chr11:75479894-75480043', 'chr11:75480044-75480193', 'chr11:75480344-75480493', 'chr11:75480494-75480643', 'chr11:75480644-75480793', 'chr11:75480794-75480943', 'chr11:75480944-75481093', 'chr11:75481094-75481243', 'chr11:75481244-75481393', 'chr11:75481394-75481543', 'chr11:75481844-75481988']",H3K27ac,0.0,17.0
000000000000376_ENSG00000146856.14_SE:chr7:134989310-134993493:134993678-135017052:+_H3K27ac.txt,SE,3,124,45,0,14,0,0,1,27,0,3,"['chr7:134991163-134991222', 'chr7:134991223-134991292', 'chr7:134991293-134991342', 'chr7:134991523-134991592', 'chr7:134991593-134991632', 'chr7:134993293-134993322', 'chr7:134993323-134993352', 'chr7:134993353-134993362', 'chr7:134993363-134993372', 'chr7:134993373-134993382', 'chr7:134993383-134993392', 'chr7:134993393-134993422', 'chr7:134993423-134993442', 'chr7:134993443-134993452', 'chr7:134993543-134993572', 'chr7:134993573-134993582', 'chr7:134993583-134993602', 'chr7:134993603-134993682', 'chr7:134993683-134993692', 'chr7:134993693-134993762', 'chr7:134993763-134993842', 'chr7:134993843-134993872', 'chr7:134993873-134993952', 'chr7:134993953-134993992', 'chr7:134993993-134994022', 'chr7:134994023-134994092', 'chr7:134994183-134994202', 'chr7:134994353-134994362', 'chr7:134994393-134994402', 'chr7:134994533-134994552', 'chr7:134994553-134994592', 'chr7:134994593-134994642', 'chr7:134994643-134994712', 'chr7:134994773-134994862', 'chr7:134994933-134994942', 'chr7:134994943-134994952', 'chr7:134994953-134994962', 'chr7:134994963-134994972', 'chr7:134994973-134994982', 'chr7:134994983-134994992', 'chr7:134994993-134995022', 'chr7:134995023-134995042', 'chr7:134995043-134995102', 'chr7:134995103-134995112', 'chr7:134995113-134995142']",H3K27ac,0.0,42.0
000000000000498_ENSG00000166263.13_SE:chr17:55043325-55047089:55047154-55072900:+_H3K27ac.txt,SE,125,36,4,0,1,0,0,0,3,0,0,"['chr17:55045339-55045488', 'chr17:55047289-55047438', 'chr17:55047889-55048038', 'chr17:55048039-55048188']",H3K27ac,0.0,4.0
000000000000335_ENSG00000140092.14_SE:chr14:91937201-91938330:91938452-91940565:-_H3K27ac.txt,SE,150,35,3,1,0,0,0,0,2,0,0,"['chr14:91936130-91936279', 'chr14:91939880-91940029', 'chr14:91940030-91940179']",H3K27ac,0.0,3.0
000000000000139_ENSG00000104728.15_SE:chr8:1876734-1880048:1880164-1882635:+_H3K27ac.txt,SE,139,35,32,0,15,1,0,1,15,0,0,"['chr8:1877548-1877697', 'chr8:1877848-1877997', 'chr8:1877998-1878147', 'chr8:1878148-1878297', 'chr8:1878298-1878447', 'chr8:1878448-1878597', 'chr8:1878598-1878747', 'chr8:1878748-1878897', 'chr8:1878898-1879047', 'chr8:1879048-1879197', 'chr8:1879198-1879347', 'chr8:1879348-1879497', 'chr8:1879498-1879647', 'chr8:1879648-1879797', 'chr8:1879798-1879947', 'chr8:1879948-1880097', 'chr8:1880098-1880247', 'chr8:1880248-1880397', 'chr8:1880398-1880547', 'chr8:1880548-1880697', 'chr8:1880698-1880847', 'chr8:1880848-1880997', 'chr8:1880998-1881147', 'chr8:1881148-1881297', 'chr8:1881298-1881447', 'chr8:1881448-1881597', 'chr8:1881598-1881747', 'chr8:1881748-1881897', 'chr8:1881898-1882047', 'chr8:1882048-1882197', 'chr8:1882198-1882347', 'chr8:1882348-1882497']",H3K27ac,0.0,32.0
000000000000352_ENSG00000143324.13_SE:chr1:180835045-180836522:180836716-180863708:+_H3K27ac.txt,SE,338,35,7,2,3,1,0,1,0,0,0,"['chr1:180834622-180834771', 'chr1:180834772-180834921', 'chr1:180835972-180836121', 'chr1:180836122-180836271', 'chr1:180836272-180836421', 'chr1:180836422-180836571', 'chr1:180836572-180836721']",H3K27ac,0.0,7.0
000000000000420_ENSG00000154175.16_SE:chr3:100780209-100787728:100787802-100789454:-_H3K27ac.txt,SE,73,34,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000317_ENSG00000138031.14_SE:chr2:24838622-24838847:24838912-24839873:-_H3K27ac.txt,SE,287,34,6,5,1,0,0,0,0,0,0,"['chr2:24836497-24836646', 'chr2:24837997-24838146', 'chr2:24838147-24838296', 'chr2:24838297-24838446', 'chr2:24838447-24838596', 'chr2:24838597-24838746']",H3K27ac,0.0,6.0
000000000000688_ENSG00000275111.4_SE:chr2:95165860-95176188:95176259-95177483:+_H3K27ac.txt,SE,167,35,1,0,0,0,0,0,0,1,0,['chr2:95178638-95178759'],H3K27ac,0.0,1.0
000000000000213_ENSG00000116871.15_RI:chr1:36176199:36176321-36176418:36176581:+_H3K27ac.txt,RI,342,34,29,15,1,1,0,1,1,10,0,"['chr1:36173821-36173970', 'chr1:36173971-36174120', 'chr1:36174121-36174270', 'chr1:36174271-36174420', 'chr1:36174421-36174570', 'chr1:36174571-36174720', 'chr1:36174721-36174870', 'chr1:36174871-36175020', 'chr1:36175021-36175170', 'chr1:36175171-36175320', 'chr1:36175321-36175470', 'chr1:36175471-36175620', 'chr1:36175621-36175770', 'chr1:36175771-36175920', 'chr1:36175921-36176070', 'chr1:36176071-36176220', 'chr1:36176221-36176370', 'chr1:36176371-36176520', 'chr1:36176521-36176670', 'chr1:36176671-36176820', 'chr1:36176821-36176970', 'chr1:36176971-36177120', 'chr1:36177121-36177270', 'chr1:36177271-36177420', 'chr1:36177421-36177570', 'chr1:36177571-36177720', 'chr1:36177721-36177870', 'chr1:36177871-36178020', 'chr1:36178021-36178170']",H3K27ac,0.0,29.0
000000000000160_ENSG00000106772.17_SE:chr9:76638288-76641972:76641980-76644739:-_H3K27ac.txt,SE,99,34,5,0,0,0,0,0,5,0,0,"['chr9:76643222-76643371', 'chr9:76643522-76643671', 'chr9:76643672-76643821', 'chr9:76643972-76644121', 'chr9:76644122-76644271']",H3K27ac,0.0,5.0
000000000000093_ENSG00000091181.19_SE:chr3:3104987-3105468:3105536-3108550:-_H3K27ac.txt,SE,23,40,0,0,0,0,0,0,0,0,0,[],H3K27ac,0.0,0.0
000000000000029_ENSG00000034239.10_SE:chr8:48730644-48731348:48731503-48735094:-_H3K27ac.txt,SE,23,43,2,2,0,0,0,0,0,0,0,"['chr8:48729748-48729897', 'chr8:48729898-48730047']",H3K27ac,0.0,2.0
000000000000449_ENSG00000162723.9_SE:chr1:159951866-159952262:159952534-159953309:-_H3K27ac.txt,SE,31,42,7,6,0,0,0,0,1,0,0,"['chr1:159950812-159950961', 'chr1:159950962-159951111', 'chr1:159951262-159951411', 'chr1:159951412-159951561', 'chr1:159951712-159951821', 'chr1:159951822-159951861', 'chr1:159952762-159952911']",H3K27ac,0.0,7.0
000000000000158_ENSG00000106686.16_SE:chr9:4600809-4604179:4604269-4605347:-_H3K27ac.txt,SE,46,39,6,0,2,0,0,1,2,1,0,"['chr9:4602729-4602878', 'chr9:4603329-4603478', 'chr9:4604229-4604378', 'chr9:4604979-4605128', 'chr9:4605129-4605278', 'chr9:4606129-4606178']",H3K27ac,0.0,6.0
000000000000051_ENSG00000065665.20_SE:chr10:12133308-12136105:12136170-12143117:+_H3K27ac.txt,SE,258,35,5,0,4,1,0,0,0,0,0,"['chr10:12134805-12134954', 'chr10:12135555-12135704', 'chr10:12135705-12135854', 'chr10:12135855-12136004', 'chr10:12136005-12136154']",H3K27ac,0.0,5.0
000000000000442_ENSG00000160801.13_SE:chr3:46902790-46902901:46902951-46903270:+_H3K27ac.txt,SE,73,34,4,3,0,0,0,0,0,1,0,"['chr3:46900401-46900550', 'chr3:46902051-46902200', 'chr3:46902351-46902500', 'chr3:46904601-46904750']",H3K27ac,0.0,4.0
000000000000049_ENSG00000065029.14_SE:chr6:35293044-35293751:35293915-35294456:+_H3K27ac.txt,SE,329,35,14,3,0,0,0,0,1,10,0,"['chr6:35291251-35291400', 'chr6:35291701-35291850', 'chr6:35292151-35292300', 'chr6:35294101-35294250', 'chr6:35294701-35294850', 'chr6:35294851-35295000', 'chr6:35295001-35295150', 'chr6:35295151-35295300', 'chr6:35295451-35295600', 'chr6:35295601-35295750', 'chr6:35295751-35295900', 'chr6:35295901-35296050', 'chr6:35296201-35296350', 'chr6:35296351-35296415']",H3K27ac,0.0,14.0
000000000000229_ENSG00000120910.14_SE:chr8:22533018-22539469:22539498-22540615:+_H3K27ac.txt,SE,333,34,34,0,16,0,1,0,8,9,0,"['chr8:22536969-22537118', 'chr8:22537119-22537268', 'chr8:22537269-22537418', 'chr8:22537419-22537568', 'chr8:22537569-22537718', 'chr8:22537719-22537868', 'chr8:22537869-22538018', 'chr8:22538019-22538168', 'chr8:22538169-22538318', 'chr8:22538319-22538468', 'chr8:22538469-22538618', 'chr8:22538619-22538768', 'chr8:22538769-22538918', 'chr8:22538919-22539068', 'chr8:22539069-22539218', 'chr8:22539219-22539368', 'chr8:22539369-22539518', 'chr8:22539519-22539668', 'chr8:22539669-22539818', 'chr8:22539819-22539968', 'chr8:22539969-22540118', 'chr8:22540119-22540268', 'chr8:22540269-22540418', 'chr8:22540419-22540568', 'chr8:22540569-22540718', 'chr8:22540719-22540868', 'chr8:22540869-22541018', 'chr8:22541019-22541168', 'chr8:22541169-22541318', 'chr8:22541319-22541468', 'chr8:22541469-22541618', 'chr8:22541619-22541768', 'chr8:22541769-22541918', 'chr8:22541919-22541998']",H3K27ac,0.0,34.0
000000000000119_ENSG00000101605.12_SE:chr18:3126897-3129232:3129519-3131375:-_H3K27ac.txt,SE,101,37,12,0,2,0,0,1,8,0,1,"['chr18:3128762-3128831', 'chr18:3128982-3129131', 'chr18:3129282-3129431', 'chr18:3129432-3129581', 'chr18:3129582-3129731', 'chr18:3129732-3129881', 'chr18:3129882-3130031', 'chr18:3130032-3130181', 'chr18:3130182-3130331', 'chr18:3130332-3130481', 'chr18:3130782-3130931', 'chr18:3131232-3131381']",H3K27ac,0.0,11.0
000000000000635_ENSG00000196476.11_SE:chr20:284081-289559:289676-290259:-_H3K27ac.txt,SE,224,38,10,0,2,0,0,0,0,8,0,"['chr20:287959-288108', 'chr20:288109-288258', 'chr20:290759-290808', 'chr20:290809-290958', 'chr20:290959-291108', 'chr20:291109-291258', 'chr20:291259-291408', 'chr20:291409-291558', 'chr20:291559-291708', 'chr20:291709-291858']",H3K27ac,0.0,10.0
000000000000469_ENSG00000163820.14_RI:chr3:45917904:45919065-45919413:45921840:-_H3K27ac.txt,RI,319,36,7,0,0,0,0,1,6,0,0,"['chr3:45919265-45919414', 'chr3:45920615-45920764', 'chr3:45921065-45921214', 'chr3:45921365-45921514', 'chr3:45921515-45921664', 'chr3:45921665-45921814', 'chr3:45921815-45921913']",H3K27ac,0.0,7.0
000000000000095_ENSG00000091592.15_SE:chr17:5517887-5520881:5521012-5521524:-_H3K27ac.txt,SE,247,35,21,0,6,1,0,1,3,10,0,"['chr17:5518531-5518680', 'chr17:5520031-5520180', 'chr17:5520181-5520330', 'chr17:5520331-5520480', 'chr17:5520481-5520630', 'chr17:5520631-5520780', 'chr17:5520781-5520930', 'chr17:5520931-5521080', 'chr17:5521081-5521230', 'chr17:5521231-5521380', 'chr17:5521381-5521530', 'chr17:5521531-5521680', 'chr17:5521681-5521830', 'chr17:5522281-5522430', 'chr17:5522431-5522580', 'chr17:5522581-5522730', 'chr17:5522731-5522880', 'chr17:5522881-5523030', 'chr17:5523031-5523180', 'chr17:5523181-5523330', 'chr17:5523481-5523512']",H3K27ac,0.0,21.0
000000000000483_ENSG00000165055.15_SE:chr7:128476875-128477082:128477173-128479158:+_H3K27ac.txt,SE,319,40,3,2,1,0,0,0,0,0,0,"['chr7:128476532-128476611', 'chr7:128476612-128476681', 'chr7:128476832-128476981']",H3K27ac,0.0,3.0
000000000000236_ENSG00000122483.17_SE:chr1:93264901-93270347:93270814-93278463:+_H3K27ac.txt,SE,213,44,7,0,4,0,0,0,2,0,1,"['chr1:93268487-93268526', 'chr1:93268527-93268556', 'chr1:93268557-93268596', 'chr1:93269947-93270096', 'chr1:93270547-93270696', 'chr1:93272347-93272496', 'chr1:93272497-93272646']",H3K27ac,0.0,6.0
000000000000651_ENSG00000198198.16_SE:chr1:43426151-43426368:43426538-43426715:+_H3K27ac.txt,SE,294,35,12,4,0,1,0,1,0,6,0,"['chr1:43425068-43425217', 'chr1:43425218-43425367', 'chr1:43425518-43425667', 'chr1:43425668-43425817', 'chr1:43426268-43426417', 'chr1:43426418-43426567', 'chr1:43427318-43427467', 'chr1:43427468-43427617', 'chr1:43428068-43428217', 'chr1:43428368-43428517', 'chr1:43428518-43428667', 'chr1:43428818-43428967']",H3K27ac,0.0,12.0
000000000000191_ENSG00000111554.14_SE:chr12:68323240-68325441:68325575-68326657:-_H3K27ac.txt,SE,288,35,26,0,12,0,0,0,6,8,0,"['chr12:68323091-68323240', 'chr12:68323241-68323390', 'chr12:68323391-68323540', 'chr12:68323691-68323840', 'chr12:68323841-68323990', 'chr12:68323991-68324140', 'chr12:68324141-68324290', 'chr12:68324291-68324440', 'chr12:68324741-68324890', 'chr12:68324891-68325040', 'chr12:68325041-68325190', 'chr12:68325191-68325340', 'chr12:68325641-68325790', 'chr12:68325791-68325940', 'chr12:68325941-68326090', 'chr12:68326091-68326240', 'chr12:68326391-68326540', 'chr12:68326541-68326690', 'chr12:68326691-68326840', 'chr12:68326841-68326990', 'chr12:68326991-68327140', 'chr12:68327141-68327290', 'chr12:68327291-68327440', 'chr12:68327441-68327590', 'chr12:68327591-68327740', 'chr12:68327741-68327890']",H3K27ac,0.0,26.0
000000000000372_ENSG00000145730.20_SE:chr5:102961229-102974116:102974436-102990272:+_H3K27ac.txt,SE,292,36,12,0,3,0,0,1,7,0,1,"['chr5:102972216-102972365', 'chr5:102972366-102972515', 'chr5:102973116-102973265', 'chr5:102974166-102974315', 'chr5:102974316-102974465', 'chr5:102974766-102974915', 'chr5:102975216-102975365', 'chr5:102975366-102975515', 'chr5:102975516-102975665', 'chr5:102975666-102975815', 'chr5:102975816-102975965', 'chr5:102975966-102976115']",H3K27ac,0.0,11.0
000000000000157_ENSG00000106635.7_SE:chr7:73538013-73539882:73540052-73543548:-_H3K27ac.txt,SE,330,35,30,4,11,1,0,1,13,0,0,"['chr7:73537382-73537531', 'chr7:73537532-73537681', 'chr7:73537682-73537831', 'chr7:73537832-73537981', 'chr7:73537982-73538131', 'chr7:73538132-73538281', 'chr7:73538282-73538431', 'chr7:73538432-73538581', 'chr7:73538582-73538731', 'chr7:73538732-73538881', 'chr7:73538882-73539031', 'chr7:73539182-73539331', 'chr7:73539332-73539481', 'chr7:73539482-73539631', 'chr7:73539632-73539781', 'chr7:73539782-73539931', 'chr7:73539932-73540081', 'chr7:73540082-73540231', 'chr7:73540232-73540381', 'chr7:73540382-73540531', 'chr7:73540982-73541131', 'chr7:73541132-73541281', 'chr7:73541282-73541431', 'chr7:73541432-73541581', 'chr7:73541732-73541881', 'chr7:73541882-73542031', 'chr7:73542032-73542181', 'chr7:73542182-73542331', 'chr7:73542332-73542481', 'chr7:73542482-73542552']",H3K27ac,0.0,30.0
